Call  Failure,Complains,Subscription_Length,Charge  Amount,Seconds_of_Use,Frequency_of_Use,Frequency_of_SMS,Distinct_Called_Numbers,Status,Age,Customer_Value,Churn,AHT,FCR,Sentiment_Score,Transfer_Count,SLA_Compliance,Callback_Count,Usage_per_Sub_Day,SLA_Target,Service_Gap,Complexity_Score,Tariff_1,Tariff_2,Age_Group_Numeric
0,0,38,0,115,6,32,4,2,25,149.445,1,310,1,5,1,0.82,0,3.026315789473684,0.95,0.13,0.5,True,False,25
3,0,38,1,7623,133,416,47,1,30,1974.24,0,292,1,3,1,0.96,0,200.60526315789474,0.95,-0.010000000000000009,0.5,True,False,35
7,0,38,2,11580,160,43,51,1,45,401.0,0,387,1,2,2,0.71,2,304.7368421052632,0.95,0.24,1.6,True,False,45
8,0,38,2,6833,81,140,41,1,25,941.13,0,254,0,2,1,0.83,1,179.81578947368422,0.95,0.12,0.8,True,False,25
23,1,34,0,1070,53,48,21,2,30,236.92,1,220,1,4,2,0.9,0,31.470588235294116,0.95,0.04999999999999993,1.0,True,False,35
21,0,37,9,10550,99,33,46,1,55,209.235,0,162,1,3,0,0.73,1,285.13513513513516,0.95,0.21999999999999997,0.3,True,False,55
13,0,37,2,5933,104,58,28,1,30,473.48,0,151,0,1,0,0.94,2,160.35135135135135,0.95,0.010000000000000009,0.6,True,False,35
1,0,35,1,2955,28,32,18,1,30,247.32,0,243,1,2,3,0.98,1,84.42857142857143,0.95,-0.030000000000000027,1.8,True,False,35
9,1,36,0,3105,47,41,20,2,30,290.08,1,381,0,5,3,0.73,1,86.25,0.95,0.21999999999999997,1.8,True,False,35
9,0,37,0,2383,50,66,35,2,45,225.825,1,280,1,4,3,0.75,0,64.4054054054054,0.95,0.19999999999999996,1.5,True,False,45
0,0,37,0,248,8,32,6,2,30,138.24,1,373,1,4,1,0.99,2,6.702702702702703,0.95,-0.040000000000000036,1.1,True,False,35
1,0,37,1,1783,31,32,10,1,45,125.35,0,175,1,1,2,0.76,0,48.189189189189186,0.95,0.18999999999999995,1.0,True,False,45
3,0,34,2,6900,103,46,26,1,55,174.045,0,173,1,1,2,0.72,2,202.94117647058823,0.95,0.22999999999999998,1.6,True,False,55
0,0,37,0,743,13,41,8,2,45,121.4,1,358,0,2,1,0.99,0,20.08108108108108,0.95,-0.040000000000000036,0.5,True,False,45
0,0,37,2,453,10,36,6,1,55,60.945,0,176,0,5,2,0.97,0,12.243243243243244,0.95,-0.020000000000000018,1.0,True,False,55
25,0,32,4,16190,244,32,84,1,25,883.53,0,162,1,3,2,0.9,1,505.9375,0.95,0.04999999999999993,1.3,False,True,25
6,0,35,4,7080,122,303,37,1,30,1500.08,0,251,0,4,1,0.87,0,202.28571428571428,0.95,0.07999999999999996,0.5,False,True,35
2,0,37,1,3833,88,34,32,1,30,292.84,0,381,1,3,1,0.98,0,103.5945945945946,0.95,-0.030000000000000027,0.5,True,False,35
3,0,36,0,1780,50,70,24,2,45,220.75,0,322,0,3,1,0.9,0,49.44444444444444,0.95,0.04999999999999993,0.5,True,False,45
6,0,37,1,2895,59,207,27,1,25,1064.43,0,174,1,4,3,0.9,2,78.24324324324324,0.95,0.04999999999999993,2.1,True,False,25
4,0,28,2,1430,42,225,15,1,30,958.88,0,359,1,5,3,0.95,2,51.07142857142857,0.95,0.0,2.1,False,True,35
4,0,27,1,1683,45,62,72,1,55,118.92,0,360,1,3,3,0.9,0,62.333333333333336,0.95,0.04999999999999993,1.5,True,False,55
11,0,28,0,815,31,42,11,2,30,201.84,0,350,0,3,3,0.85,1,29.107142857142858,0.95,0.09999999999999998,1.8,True,False,35
0,0,27,0,940,16,53,7,2,45,156.4,0,375,1,5,1,0.82,1,34.81481481481482,0.95,0.13,0.8,True,False,45
10,0,26,1,1340,38,51,17,1,25,291.51,0,209,1,2,3,0.85,1,51.53846153846154,0.95,0.09999999999999998,1.8,True,False,25
2,0,26,1,3340,67,40,27,1,30,296.28,0,394,1,5,0,0.86,1,128.46153846153845,0.95,0.08999999999999997,0.3,True,False,35
2,0,19,1,1810,32,60,18,1,30,313.68,0,230,1,3,3,0.81,2,95.26315789473684,0.95,0.1399999999999999,2.1,True,False,35
16,0,18,2,6508,147,117,46,1,25,825.975,0,350,1,5,1,0.83,1,361.55555555555554,0.95,0.12,0.8,False,True,25
12,0,16,1,9048,177,105,44,1,55,295.875,0,294,0,3,1,0.94,1,565.5,0.95,0.010000000000000009,0.8,True,False,55
8,0,17,4,2968,51,63,23,1,30,372.76,0,344,1,4,0,0.82,2,174.58823529411765,0.95,0.13,0.6,False,True,35
2,0,10,2,4505,46,247,14,1,30,1170.04,0,306,0,2,0,0.71,1,450.5,0.95,0.24,0.3,True,False,35
3,0,10,2,1603,25,32,11,1,30,193.12,1,310,1,4,1,0.78,0,160.3,0.95,0.16999999999999993,0.5,True,False,35
8,0,37,0,4255,65,0,13,1,25,194.4,0,304,1,2,2,0.77,0,115.0,0.95,0.17999999999999994,1.0,True,False,25
0,0,38,0,0,0,0,0,2,25,0.0,0,344,1,4,0,0.94,1,0.0,0.95,0.010000000000000009,0.3,True,False,25
10,0,36,0,2338,54,327,20,1,25,1579.14,0,334,1,4,3,0.83,0,64.94444444444444,0.95,0.12,1.5,True,False,25
10,0,37,0,4083,60,0,31,1,15,227.865,0,183,0,3,0,0.78,2,110.35135135135135,0.95,0.16999999999999993,0.6,True,False,18
3,0,37,0,2278,52,0,29,1,15,128.15,0,356,1,3,3,0.94,1,61.567567567567565,0.95,0.010000000000000009,1.8,True,False,18
11,0,37,0,3660,76,0,24,1,25,168.12,0,284,1,2,1,0.71,0,98.91891891891892,0.95,0.24,0.5,True,False,25
4,0,37,0,2245,33,253,14,1,30,1103.12,0,230,1,4,1,0.75,1,60.67567567567568,0.95,0.19999999999999996,0.8,True,False,35
13,0,36,1,9000,115,112,39,1,30,812.6,0,278,1,3,0,0.95,2,250.0,0.95,0.0,0.6,True,False,35
7,0,37,0,13658,163,0,40,1,30,552.84,0,391,0,3,3,0.87,2,369.13513513513516,0.95,0.07999999999999996,2.1,True,False,35
7,0,37,0,4400,77,0,21,1,30,179.08,0,364,1,1,2,0.93,2,118.91891891891892,0.95,0.019999999999999907,1.6,True,False,35
6,0,37,0,5803,89,0,8,1,25,265.14,0,358,0,1,0,0.95,2,156.83783783783784,0.95,0.0,0.6,True,False,25
9,0,37,0,2123,48,0,13,2,30,86.84,0,265,1,1,0,0.98,1,57.37837837837838,0.95,-0.030000000000000027,0.3,True,False,35
25,0,37,2,15025,219,22,28,1,30,697.76,0,346,1,5,2,0.72,2,406.0810810810811,0.95,0.22999999999999998,1.6,True,False,35
4,0,37,0,2980,21,451,4,1,30,1924.04,0,246,0,5,3,0.94,2,80.54054054054055,0.95,0.010000000000000009,2.1,True,False,35
9,0,36,0,15370,176,118,26,1,25,1230.57,0,321,1,1,0,0.91,1,426.94444444444446,0.95,0.039999999999999925,0.3,True,False,25
3,0,36,0,6385,80,154,22,1,30,874.6,0,309,0,1,0,0.76,1,177.36111111111111,0.95,0.18999999999999995,0.3,True,False,35
0,0,36,0,760,8,0,7,2,25,34.56,0,212,1,4,2,0.98,2,21.11111111111111,0.95,-0.030000000000000027,1.6,True,False,25
2,0,37,0,595,8,0,4,2,25,27.135,0,216,1,3,0,0.82,1,16.08108108108108,0.95,0.13,0.3,True,False,25
0,1,36,0,0,0,0,0,2,25,0.0,1,165,0,2,1,0.97,0,0.0,0.95,-0.020000000000000018,0.5,True,False,25
3,0,36,0,7393,121,352,39,1,25,1922.13,0,184,1,4,0,0.88,0,205.36111111111111,0.95,0.06999999999999995,0.0,True,False,25
7,0,36,0,11350,148,0,43,1,30,459.92,0,258,1,2,1,0.86,1,315.27777777777777,0.95,0.08999999999999997,0.8,True,False,35
8,0,36,0,6603,69,76,33,1,25,642.24,0,269,0,1,2,0.75,0,183.41666666666666,0.95,0.19999999999999996,1.0,True,False,25
23,0,32,0,840,41,0,13,2,25,39.645,1,191,1,2,1,0.97,0,26.25,0.95,-0.020000000000000018,0.5,True,False,25
21,0,35,7,10320,87,0,38,1,45,260.175,0,254,0,5,1,0.87,0,294.85714285714283,0.95,0.07999999999999996,0.5,False,True,45
13,1,35,0,5703,92,0,20,1,25,260.775,1,301,1,4,1,0.7,1,162.94285714285715,0.95,0.25,0.8,True,False,25
1,0,33,0,2725,16,0,10,1,30,109.64,0,208,0,1,2,0.71,1,82.57575757575758,0.95,0.24,1.3,True,False,35
9,1,34,0,2875,35,0,12,2,25,130.95,1,234,1,3,0,0.93,1,84.55882352941177,0.95,0.019999999999999907,0.3,True,False,25
9,0,35,0,2153,38,2,27,2,30,95.64,1,241,1,5,0,0.75,1,61.51428571428571,0.95,0.19999999999999996,0.3,True,False,35
0,0,35,0,0,0,0,0,2,25,0.0,1,276,0,5,0,0.88,2,0.0,0.95,0.06999999999999995,0.6,True,False,25
1,0,35,0,1553,19,0,2,1,30,62.88,0,241,1,4,3,0.9,0,44.371428571428574,0.95,0.04999999999999993,1.5,True,False,35
3,0,32,0,6670,91,0,18,1,45,169.025,0,334,1,1,2,0.78,1,208.4375,0.95,0.16999999999999993,1.3,True,False,45
0,0,35,0,513,1,0,3,2,45,12.85,1,231,1,2,0,0.87,1,14.657142857142857,0.95,0.07999999999999996,0.3,True,False,45
0,0,35,0,0,0,0,0,1,45,0.0,0,258,1,2,1,0.77,0,0.0,0.95,0.17999999999999994,0.5,True,False,45
25,0,30,2,15960,232,0,76,1,25,728.64,0,244,0,1,1,0.98,0,532.0,0.95,-0.030000000000000027,0.5,True,False,25
6,0,33,2,6850,110,239,29,1,25,1388.7,0,195,0,1,0,0.96,0,207.57575757575756,0.95,-0.010000000000000009,0.0,False,True,25
2,0,35,0,3603,76,0,24,1,25,165.555,0,321,1,2,3,0.79,0,102.94285714285714,0.95,0.15999999999999992,1.5,True,False,25
3,0,34,0,1550,38,6,16,2,30,87.52,0,208,1,3,3,0.86,0,45.588235294117645,0.95,0.08999999999999997,1.5,True,False,35
6,0,35,0,2665,47,143,19,1,25,765.54,0,224,1,2,0,0.85,0,76.14285714285714,0.95,0.09999999999999998,0.0,True,False,25
4,0,26,0,1200,30,161,7,1,25,779.85,0,348,1,3,0,0.99,0,46.15384615384615,0.95,-0.040000000000000036,0.0,False,True,25
4,0,25,0,1453,33,0,64,1,45,37.15,0,387,1,2,1,0.82,2,58.12,0.95,0.13,1.1,True,False,45
11,0,26,0,585,19,0,3,2,25,27.18,0,317,0,1,2,0.87,2,22.5,0.95,0.07999999999999996,1.6,True,False,25
0,0,25,0,710,4,0,1,2,45,17.85,0,379,0,5,3,0.98,1,28.4,0.95,-0.030000000000000027,1.8,True,False,45
10,0,24,0,1110,26,0,9,1,25,51.12,0,363,1,3,1,0.75,0,46.25,0.95,0.19999999999999996,0.5,True,False,25
2,0,24,0,3110,55,0,19,1,30,126.6,0,270,1,2,1,0.87,2,129.58333333333334,0.95,0.07999999999999996,1.1,True,False,35
2,0,17,0,1580,20,0,10,1,25,72.0,0,342,1,5,0,0.73,0,92.94117647058823,0.95,0.21999999999999997,0.0,True,False,25
16,0,16,0,6278,135,53,38,1,15,644.215,0,232,1,5,0,0.89,0,392.375,0.95,0.05999999999999994,0.0,False,True,18
12,0,14,0,8818,165,41,36,1,45,327.075,0,265,1,5,0,0.81,1,629.8571428571429,0.95,0.1399999999999999,0.3,True,False,45
8,0,15,2,2738,39,0,15,1,30,111.08,0,283,1,1,1,0.99,1,182.53333333333333,0.95,-0.040000000000000036,0.8,True,False,35
2,0,8,0,4275,34,183,6,1,30,904.36,0,390,0,4,2,0.82,0,534.375,0.95,0.13,1.0,True,False,35
3,1,8,0,1373,13,0,3,1,25,62.37,1,362,1,5,0,0.74,2,171.625,0.95,0.20999999999999996,0.6,True,False,25
10,0,38,0,4560,72,14,20,1,30,241.28,0,272,0,5,0,0.95,0,120.0,0.95,0.0,0.0,True,False,35
2,0,39,0,508,6,16,7,2,25,95.13,0,313,1,2,3,0.95,0,13.025641025641026,0.95,0.0,1.5,True,False,25
12,0,37,0,2643,61,368,27,1,30,1580.16,0,200,0,5,3,0.91,1,71.43243243243244,0.95,0.039999999999999925,1.8,True,False,35
12,0,38,0,4388,67,10,38,1,15,300.025,0,351,0,3,2,0.92,1,115.47368421052632,0.95,0.029999999999999916,1.3,True,False,18
5,0,38,0,2583,59,11,36,1,15,205.81,0,288,1,3,2,0.78,2,67.97368421052632,0.95,0.16999999999999993,1.6,True,False,18
13,0,38,1,3965,83,41,31,1,30,325.92,0,283,1,3,2,0.89,0,104.34210526315789,0.95,0.05999999999999994,1.0,True,False,35
6,0,38,0,2550,40,294,21,1,30,1279.6,0,341,1,4,1,0.71,1,67.10526315789474,0.95,0.24,0.8,True,False,35
15,0,37,2,9305,122,153,46,1,30,989.08,0,308,0,1,0,0.76,0,251.48648648648648,0.95,0.18999999999999995,0.0,True,False,35
9,0,38,0,13963,170,9,47,1,30,601.32,0,168,1,3,1,0.98,0,367.44736842105266,0.95,-0.030000000000000027,0.5,True,False,35
9,0,38,1,4705,84,11,28,1,30,235.56,0,222,1,5,2,0.92,1,123.8157894736842,0.95,0.029999999999999916,1.3,True,False,35
8,0,38,0,6108,96,16,15,1,30,312.16,0,194,1,3,2,0.77,2,160.73684210526315,0.95,0.17999999999999994,1.6,True,False,35
11,1,38,0,2428,55,17,20,2,30,167.32,0,333,0,2,2,0.73,0,63.89473684210526,0.95,0.21999999999999997,1.0,True,False,35
27,0,38,3,15330,226,63,35,1,30,874.24,0,158,1,1,2,0.98,2,403.42105263157896,0.95,-0.030000000000000027,1.6,True,False,35
6,0,38,1,3285,28,492,11,1,30,2100.52,0,200,1,3,0,0.73,1,86.44736842105263,0.95,0.21999999999999997,0.3,True,False,35
11,0,37,0,15675,183,159,33,1,25,1429.11,0,299,1,4,2,0.78,1,423.64864864864865,0.95,0.16999999999999993,1.3,True,False,25
5,0,37,1,6690,87,195,29,1,30,1051.08,0,323,0,3,3,0.75,2,180.8108108108108,0.95,0.19999999999999996,2.1,True,False,35
2,0,37,0,1065,15,9,14,2,25,89.1,0,275,0,5,2,0.7,0,28.783783783783782,0.95,0.25,1.0,True,False,25
4,0,38,0,900,15,22,11,2,30,124.6,0,365,1,4,2,0.79,0,23.68421052631579,0.95,0.15999999999999992,1.0,True,False,35
2,0,37,0,190,1,9,3,2,25,49.095,1,379,0,3,0,0.99,2,5.135135135135135,0.95,-0.040000000000000036,0.6,True,False,25
5,0,37,0,7698,128,393,46,1,25,2120.67,0,183,1,1,3,0.8,0,208.05405405405406,0.95,0.1499999999999999,1.5,True,False,25
9,0,37,1,11655,155,20,50,1,45,345.25,0,388,0,3,1,0.85,2,315.0,0.95,0.09999999999999998,1.1,True,False,45
10,0,37,1,6908,76,117,40,1,25,840.78,0,303,0,1,1,0.92,2,186.7027027027027,0.95,0.029999999999999916,1.1,True,False,25
25,1,33,0,1145,48,25,20,2,25,166.185,1,309,1,4,1,0.87,2,34.696969696969695,0.95,0.07999999999999996,1.1,True,False,25
23,0,36,8,10625,94,10,45,1,55,175.785,0,173,1,1,0,0.92,1,295.1388888888889,0.95,0.029999999999999916,0.3,True,False,55
15,0,36,1,6008,99,35,27,1,25,432.315,1,305,1,5,3,0.9,1,166.88888888888889,0.95,0.04999999999999993,1.8,True,False,25
3,0,34,0,3030,23,9,17,1,30,158.12,0,331,1,2,2,0.88,2,89.11764705882354,0.95,0.06999999999999995,1.6,True,False,35
11,1,35,0,3180,42,18,19,2,30,200.88,1,295,1,3,1,0.89,0,90.85714285714286,0.95,0.05999999999999994,0.5,True,False,35
11,1,36,0,2458,45,43,34,2,30,272.12,1,171,1,1,3,0.94,0,68.27777777777777,0.95,0.010000000000000009,1.5,True,False,35
2,0,36,0,323,3,9,5,2,30,49.04,1,280,1,2,0,0.91,1,8.972222222222221,0.95,0.039999999999999925,0.3,True,False,35
3,0,36,0,1858,26,9,9,1,30,111.36,0,383,1,5,1,0.94,1,51.611111111111114,0.95,0.010000000000000009,0.8,True,False,35
5,0,33,1,6975,98,23,25,1,55,140.595,0,330,1,2,2,0.74,2,211.36363636363637,0.95,0.20999999999999996,1.6,True,False,55
2,0,36,0,818,8,18,7,2,45,65.65,1,184,1,3,0,0.9,2,22.72222222222222,0.95,0.04999999999999993,0.6,True,False,45
2,0,36,1,528,5,13,5,1,55,27.495,0,389,1,5,2,0.92,1,14.666666666666666,0.95,0.029999999999999916,1.3,True,False,55
27,0,31,3,16265,239,9,83,1,25,783.18,0,389,0,4,3,0.79,0,524.6774193548387,0.95,0.15999999999999992,1.5,True,False,25
8,0,34,3,7155,117,280,36,1,25,1587.24,0,192,1,1,2,0.96,0,210.44117647058823,0.95,-0.010000000000000009,1.0,False,True,25
4,0,36,0,3908,83,11,31,1,25,229.095,0,350,1,2,0,0.79,2,108.55555555555556,0.95,0.15999999999999992,0.6,True,False,25
5,0,35,0,1855,45,47,23,2,30,264.0,0,251,1,2,2,0.77,1,53.0,0.95,0.17999999999999994,1.3,True,False,35
8,0,36,0,2970,54,184,26,1,25,964.08,0,298,1,2,1,0.96,1,82.5,0.95,-0.010000000000000009,0.8,True,False,25
6,1,27,1,1505,37,202,14,1,25,978.39,1,261,0,2,2,0.77,1,55.74074074074074,0.95,0.17999999999999994,1.3,False,True,25
6,0,26,0,1758,40,39,71,1,45,142.45,0,345,1,3,2,0.82,2,67.61538461538461,0.95,0.13,1.6,True,False,45
13,0,27,0,890,26,19,10,2,25,126.72,0,399,0,2,0,0.81,0,32.96296296296296,0.95,0.1399999999999999,0.0,True,False,25
2,0,26,0,1015,11,30,6,2,45,100.65,0,348,1,2,0,0.97,0,39.03846153846154,0.95,-0.020000000000000018,0.0,True,False,45
12,0,25,0,1415,33,28,16,1,25,191.16,0,382,1,3,0,0.84,2,56.6,0.95,0.10999999999999999,0.6,True,False,25
4,0,25,0,3415,62,17,26,1,30,207.08,0,386,1,2,0,0.91,1,136.6,0.95,0.039999999999999925,0.3,True,False,35
4,0,18,0,1885,27,37,17,1,25,252.54,0,172,1,2,1,0.94,2,104.72222222222223,0.95,0.010000000000000009,1.1,True,False,25
18,0,17,1,6582,142,94,45,1,25,725.58,0,213,1,3,0,0.89,0,387.1764705882353,0.95,0.05999999999999994,0.0,False,True,25
14,0,15,0,9122,172,82,43,1,45,437.35,0,330,1,5,3,0.98,0,608.1333333333333,0.95,-0.030000000000000027,1.5,True,False,45
10,0,16,3,3042,46,40,22,1,30,283.52,0,297,1,3,3,0.94,2,190.125,0.95,0.010000000000000009,2.1,True,False,35
4,0,9,1,4580,41,224,13,1,30,1080.84,0,162,1,3,0,0.82,2,508.8888888888889,0.95,0.13,0.6,True,False,35
5,0,9,1,1677,20,9,10,1,30,103.88,1,173,1,5,1,0.99,0,186.33333333333334,0.95,-0.040000000000000036,0.5,True,False,35
6,0,38,0,4180,70,0,14,1,30,170.0,0,280,0,4,2,0.86,2,110.0,0.95,0.08999999999999997,1.6,True,False,35
0,0,39,0,128,4,0,1,2,25,5.94,0,304,1,2,2,0.71,0,3.282051282051282,0.95,0.24,1.0,True,False,25
8,0,37,0,2263,59,350,21,1,30,1492.88,0,191,0,2,2,0.78,0,61.16216216216216,0.95,0.16999999999999993,1.0,True,False,35
8,0,38,0,4008,65,0,32,1,15,224.015,0,192,1,3,3,0.89,2,105.47368421052632,0.95,0.05999999999999994,2.1,True,False,18
1,0,38,0,2203,57,0,30,1,15,124.3,0,182,1,3,2,0.75,0,57.973684210526315,0.95,0.19999999999999996,1.0,True,False,18
9,0,38,1,3585,81,23,25,1,30,238.64,0,291,1,1,2,0.88,0,94.34210526315789,0.95,0.06999999999999995,1.0,True,False,35
2,0,38,0,2170,38,276,15,1,30,1192.32,0,151,0,1,2,0.81,0,57.10526315789474,0.95,0.1399999999999999,1.0,True,False,35
11,0,37,2,8925,120,135,40,1,30,901.8,0,293,1,2,2,0.86,1,241.21621621621622,0.95,0.08999999999999997,1.3,True,False,35
5,0,38,0,13583,168,0,41,1,30,550.04,0,268,1,5,1,0.7,0,357.44736842105266,0.95,0.25,0.5,True,False,35
5,0,38,1,4325,82,0,22,1,30,176.28,0,266,0,4,2,0.95,0,113.8157894736842,0.95,0.0,1.0,True,False,35
4,0,38,0,5728,94,0,9,1,30,232.88,0,319,0,5,3,0.81,0,150.73684210526315,0.95,0.1399999999999999,1.5,True,False,35
7,0,38,0,2048,53,0,14,2,30,84.04,0,280,1,1,1,0.74,1,53.89473684210526,0.95,0.20999999999999996,0.8,True,False,35
23,0,38,3,14950,224,45,29,1,30,786.96,0,331,1,3,0,0.83,1,393.42105263157896,0.95,0.12,0.3,True,False,35
2,0,38,1,2905,26,474,5,1,30,2013.24,0,340,0,3,2,0.85,0,76.44736842105263,0.95,0.09999999999999998,1.0,True,False,35
7,0,37,0,15295,181,141,27,1,25,1330.92,0,380,0,3,3,0.89,1,413.3783783783784,0.95,0.05999999999999994,1.8,True,False,25
1,0,37,1,6310,85,177,23,1,30,963.8,0,349,1,3,3,0.86,1,170.54054054054055,0.95,0.08999999999999997,1.8,True,False,35
0,0,37,0,685,13,0,8,2,25,31.41,0,279,1,2,2,0.71,1,18.513513513513512,0.95,0.24,1.3,True,False,25
0,0,38,0,520,13,4,5,2,30,37.32,0,273,1,1,3,0.96,1,13.68421052631579,0.95,-0.010000000000000009,1.8,True,False,35
0,0,37,0,0,0,0,0,2,25,0.0,1,208,1,5,1,0.84,0,0.0,0.95,0.10999999999999999,0.5,True,False,25
1,0,37,0,7318,126,375,40,1,25,2022.48,0,299,0,5,1,0.72,1,197.78378378378378,0.95,0.22999999999999998,0.8,True,False,25
5,0,37,1,11275,153,2,44,1,45,290.7,0,184,0,1,1,0.93,2,304.72972972972974,0.95,0.019999999999999907,1.1,True,False,45
6,0,37,1,6528,74,99,34,1,25,742.59,0,382,1,3,1,0.9,0,176.43243243243242,0.95,0.04999999999999993,0.5,True,False,25
21,0,33,0,765,46,7,14,2,25,67.995,1,361,0,3,2,0.89,0,23.181818181818183,0.95,0.05999999999999994,1.0,True,False,25
19,0,36,8,10245,92,0,39,1,55,155.055,0,179,0,4,3,0.83,0,284.5833333333333,0.95,0.12,1.5,False,True,55
11,0,36,1,5628,97,17,21,1,25,334.125,1,346,1,5,1,0.82,2,156.33333333333334,0.95,0.13,1.1,True,False,25
0,0,34,0,2650,21,0,11,1,30,106.84,0,179,1,3,0,0.86,2,77.94117647058823,0.95,0.08999999999999997,0.6,True,False,35
7,1,35,0,2800,40,0,13,2,30,113.6,1,330,1,4,3,0.72,2,80.0,0.95,0.22999999999999998,2.1,True,False,35
7,0,36,0,2078,43,25,28,2,30,184.84,1,171,1,5,3,0.79,0,57.72222222222222,0.95,0.15999999999999992,1.5,True,False,35
0,0,36,0,0,0,0,0,2,30,0.0,1,272,1,5,3,1.0,1,0.0,0.95,-0.050000000000000044,1.8,True,False,35
0,0,36,0,1478,24,0,3,1,30,60.08,0,314,1,2,1,0.9,0,41.05555555555556,0.95,0.04999999999999993,0.5,True,False,35
1,0,33,1,6595,96,5,19,1,55,107.865,0,332,1,5,2,0.83,2,199.84848484848484,0.95,0.12,1.6,True,False,55
0,0,36,0,438,6,0,1,2,45,11.1,1,254,1,3,2,0.77,1,12.166666666666666,0.95,0.17999999999999994,1.3,True,False,45
0,0,36,1,0,0,0,0,1,55,0.0,0,380,1,1,3,0.92,1,0.0,0.95,0.029999999999999916,1.8,True,False,55
23,0,31,3,15885,237,0,77,1,25,725.49,0,343,1,4,3,0.78,1,512.4193548387096,0.95,0.16999999999999993,1.8,True,False,25
4,0,34,3,6775,115,262,30,1,25,1489.05,0,202,1,5,3,0.75,2,199.26470588235293,0.95,0.19999999999999996,2.1,False,True,25
0,0,36,0,3528,81,0,25,1,25,162.405,0,317,1,2,1,0.75,2,98.0,0.95,0.19999999999999996,1.1,True,False,25
1,0,35,0,1475,43,29,17,2,30,176.72,0,332,0,3,0,0.92,2,42.142857142857146,0.95,0.029999999999999916,0.6,True,False,35
4,0,36,0,2590,52,166,20,1,25,865.89,0,233,1,2,0,0.89,1,71.94444444444444,0.95,0.05999999999999994,0.3,True,False,25
2,0,27,1,1125,35,184,8,1,25,880.2,0,334,0,1,3,0.72,2,41.666666666666664,0.95,0.22999999999999998,2.1,False,True,25
2,0,26,0,1378,38,21,65,1,45,87.9,0,374,1,5,3,0.73,2,53.0,0.95,0.21999999999999997,2.1,True,False,45
9,0,27,0,510,24,1,4,2,25,28.53,0,354,0,1,0,0.89,1,18.88888888888889,0.95,0.05999999999999994,0.3,True,False,25
0,0,26,0,635,9,12,1,2,45,46.1,0,340,0,3,1,0.87,2,24.423076923076923,0.95,0.07999999999999996,1.1,True,False,45
8,0,25,0,1035,31,10,10,1,25,92.97,0,308,1,1,0,0.91,2,41.4,0.95,0.039999999999999925,0.6,True,False,25
0,0,25,0,3035,60,0,20,1,30,123.8,0,217,1,4,1,0.75,2,121.4,0.95,0.19999999999999996,1.1,True,False,35
0,0,18,0,1505,25,19,11,1,25,154.35,0,348,1,5,2,0.92,0,83.61111111111111,0.95,0.029999999999999916,1.0,True,False,25
14,0,17,1,6202,140,76,39,1,25,627.39,0,241,0,4,2,0.98,2,364.8235294117647,0.95,-0.030000000000000027,1.6,False,True,25
10,0,15,0,8742,170,64,37,1,45,382.8,0,283,0,4,1,0.88,1,582.8,0.95,0.06999999999999995,0.8,True,False,45
6,0,16,3,2662,44,22,16,1,30,196.24,0,228,1,5,1,0.76,0,166.375,0.95,0.18999999999999995,0.5,True,False,35
0,0,9,1,4200,39,206,7,1,30,993.56,0,228,0,5,2,0.9,1,466.6666666666667,0.95,0.04999999999999993,1.3,True,False,35
1,0,9,1,1297,18,0,4,1,30,52.6,1,189,0,5,2,0.8,2,144.11111111111111,0.95,0.1499999999999999,1.6,True,False,35
6,0,33,0,4370,65,0,16,1,25,199.575,0,390,1,2,0,0.71,2,132.42424242424244,0.95,0.24,0.6,True,False,25
0,0,34,0,318,4,0,3,2,25,14.49,0,186,0,3,0,0.79,2,9.352941176470589,0.95,0.15999999999999992,0.6,True,False,25
8,0,32,0,2453,54,351,23,1,25,1692.315,0,171,0,5,1,0.97,2,76.65625,0.95,-0.020000000000000018,1.1,True,False,25
8,0,33,0,4198,60,0,34,1,15,234.19,0,384,1,2,1,0.82,1,127.21212121212122,0.95,0.13,0.8,True,False,18
1,0,33,0,2393,52,0,32,1,15,134.475,0,288,1,4,3,0.96,2,72.51515151515152,0.95,-0.010000000000000009,2.1,True,False,18
9,0,33,0,3775,76,24,27,1,25,281.295,0,259,1,1,3,0.85,0,114.39393939393939,0.95,0.09999999999999998,1.5,True,False,25
2,0,33,0,2360,33,277,17,1,30,1203.72,0,334,1,5,2,0.86,0,71.51515151515152,0.95,0.08999999999999997,1.0,True,False,35
11,0,32,1,9115,115,136,42,1,30,913.2,0,245,1,4,0,0.7,0,284.84375,0.95,0.25,0.0,True,False,35
5,0,33,0,13773,163,0,43,1,30,557.44,0,181,0,4,0,0.89,2,417.3636363636364,0.95,0.05999999999999994,0.6,True,False,35
5,0,33,0,4515,77,0,24,1,30,183.68,0,332,1,5,1,0.73,1,136.8181818181818,0.95,0.21999999999999997,0.8,True,False,35
4,0,33,0,5918,89,0,11,1,25,270.315,0,193,1,2,2,0.84,2,179.33333333333334,0.95,0.10999999999999999,1.6,True,False,25
7,1,33,0,2238,48,0,16,2,30,91.44,0,288,1,3,2,0.78,1,67.81818181818181,0.95,0.16999999999999993,1.3,True,False,35
23,0,33,2,15140,219,46,31,1,30,798.36,0,387,1,5,0,0.82,1,458.7878787878788,0.95,0.13,0.3,True,False,35
2,0,33,0,3095,21,475,7,1,30,2024.64,0,384,1,1,3,0.86,2,93.78787878787878,0.95,0.08999999999999997,2.1,True,False,35
